sep=;
12sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
errosion;4:14:2 - 4:14:2 (91);0;;4:14:7 - 4:14:7 (96);0;;4:14:18 - 4:14:19 (83);1;;4:14:8 - 4:14:8 (102);0;;4:14:14 - 4:14:14 (102);0;;4:14:14 - 4:14:14 (102);0;;4:14:16 - 4:14:16 (102);0;;4:14:18 - 4:14:18 (106);0;;4:14:18 - 4:14:18 (83);0;;4:14:19 - 4:14:19 (23);0;;4:14:19 - 4:14:19 (23);0;;4:14:19 - 4:14:19 (83);0;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;16:13:5 - 16:13:51;46;49;16:13:5 - 16:13:51;46;48;16:13:5 - 16:13:51;46;63;16:13:5 - 16:13:51;46;62;16:13:5 - 16:13:51;46;55;16:13:5 - 16:13:51;46;62;16:13:5 - 16:13:51;46;68;16:13:5 - 16:13:51;46;68;16:13:51 - 16:14:28;37;48;16:13:51 - 16:14:30;39;32;16:13:51 - 16:14:27;36;58;16:13:51 - 16:14:28;37;58;
grayscaling;4:14:40 - 4:15:35 (92);55;10;4:14:39 - 4:15:32 (106);53;13;4:14:54 - 4:16:28 (103);94;0;4:14:53 - 4:16:26 (116);93;0;4:14:46 - 4:16:2 (115);76;1;4:14:53 - 4:16:24 (81);91;1;4:14:59 - 4:16:31 (109);92;0;4:14:59 - 4:16:31 (89);92;1;4:15:16 - 4:16:38 (96);82;0;4:15:2 - 4:16:34 (88);92;0;4:15:25 - 4:16:40 (107);75;0;4:15:26 - 4:16:39 (90);73;1;
errosion;4:15:45 - 4:15:46 (106);1;;4:15:45 - 4:15:45 (98);0;;4:16:28 - 4:16:29 (103);1;;4:16:26 - 4:16:27 (116);1;;4:16:3 - 4:16:3 (106);0;;4:16:25 - 4:16:25 (106);0;;4:16:31 - 4:16:32 (81);1;;4:16:32 - 4:16:32 (89);0;;4:16:38 - 4:16:38 (109);0;;4:16:34 - 4:16:34 (88);0;;4:16:40 - 4:16:40 (107);0;;4:16:40 - 4:16:40 (90);0;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;16:14:30 - 16:15:45;75;67;16:14:30 - 16:15:45;75;64;16:14:30 - 16:15:45;75;67;16:14:30 - 16:15:45;75;67;16:14:30 - 16:15:45;75;64;16:14:30 - 16:15:45;75;68;16:14:30 - 16:15:45;75;69;16:14:30 - 16:15:45;75;70;16:15:45 - 16:16:46;61;9;16:15:45 - 16:16:49;64;5;16:15:45 - 16:16:49;64;6;16:15:45 - 16:16:49;64;9;
grayscaling;4:16:52 - 4:19:56 (91);184;1;4:16:49 - 4:19:40 (109);171;1;4:16:52 - 4:19:55 (121);183;1;4:16:52 - 4:19:55 (123);183;1;4:16:49 - 4:19:37 (107);168;1;4:16:53 - 4:19:57 (95);184;1;4:16:54 - 4:19:58 (102);184;1;4:16:55 - 4:19:58 (23);183;2;4:16:55 - 4:19:58 (93);183;2;4:16:54 - 4:19:58 (105);184;1;4:16:55 - 4:19:59 (83);184;1;4:16:58 - 4:19:59 (108);181;2;
errosion;4:19:57 - 4:19:58 (123);1;;4:19:41 - 4:19:42 (103);1;;4:19:56 - 4:19:57 (103);1;;4:19:56 - 4:19:56 (123);0;;4:19:38 - 4:19:39 (103);1;;4:19:58 - 4:19:58 (103);0;;4:19:59 - 4:19:59 (95);0;;4:20:0 - 4:20:0 (103);0;;4:20:0 - 4:20:1 (23);1;;4:19:59 - 4:19:59 (105);0;;4:20:0 - 4:20:0 (95);0;;4:20:1 - 4:20:1 (109);0;;


