sep=;
16sub-images - time duration for each phase and the corresponding threads - Local


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;21:23:29 - 21:23:50;21;114;21:23:29 - 21:23:50;21;93;21:23:29 - 21:23:50;21;102;21:23:29 - 21:23:50;21;109;21:23:29 - 21:23:50;21;110;21:23:29 - 21:23:50;21;110;21:23:29 - 21:23:50;21;116;21:23:29 - 21:23:50;21;122;21:23:29 - 21:23:50;21;116;21:23:29 - 21:23:50;21;134;21:23:29 - 21:23:50;21;174;21:23:29 - 21:23:50;21;123;21:23:29 - 21:23:50;21;134;21:23:29 - 21:23:50;21;140;21:23:29 - 21:23:50;21;146;21:23:29 - 21:23:50;21;140;
grayscaling;9:25:44 - 9:25:53 (91);9;64;9:25:23 - 9:25:30 (92);7;99;9:25:32 - 9:25:38 (118);6;91;9:25:39 - 9:25:46 (127);7;71;9:25:40 - 9:25:48 (118);8;81;9:25:40 - 9:25:49 (92);9;70;9:25:46 - 9:25:55 (112);9;62;9:25:52 - 9:25:58 (124);6;71;9:25:46 - 9:25:55 (97);9;64;9:26:4 - 9:26:9 (111);5;49;9:26:44 - 9:27:36 (36);52;1;9:25:53 - 9:25:58 (92);5;62;9:26:4 - 9:26:9 (92);5;60;9:26:10 - 9:26:15 (92);5;44;9:26:16 - 9:26:22 (111);6;36;9:26:10 - 9:26:15 (111);5;54;
errosion;9:26:57 - 9:26:58 (85);1;;9:27:9 - 9:27:10 (125);1;;9:27:9 - 9:27:10 (97);1;;9:26:57 - 9:26:57 (85);0;;9:27:9 - 9:27:10 (128);1;;9:26:59 - 9:27:0 (92);1;;9:26:57 - 9:26:57 (85);0;;9:27:9 - 9:27:10 (121);1;;9:26:59 - 9:27:0 (85);1;;9:26:58 - 9:26:58 (92);0;;9:27:37 - 9:27:37 (99);0;;9:27:0 - 9:27:0 (92);0;;9:27:9 - 9:27:10 (112);1;;9:26:59 - 9:27:0 (104);1;;9:26:58 - 9:26:58 (85);0;;9:27:9 - 9:27:10 (129);1;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;21:23:51 - 21:24:53;62;84;21:23:51 - 21:24:52;61;85;21:23:51 - 21:24:59;68;88;21:23:51 - 21:24:53;62;94;21:23:51 - 21:24:57;66;90;21:23:51 - 21:25:2;71;91;21:23:51 - 21:25:1;70;97;21:23:51 - 21:25:1;70;98;21:23:51 - 21:25:1;70;98;21:23:51 - 21:24:55;64;104;21:23:51 - 21:24:53;62;120;21:23:51 - 21:24:55;64;118;21:23:51 - 21:24:55;64;118;21:23:51 - 21:24:59;68;114;21:23:51 - 21:24:58;67;115;21:23:51 - 21:24:58;67;115;
