sep=;
16sub-images - time duration for each phase and the corresponding threads - Local
preparation;14:58:14 - 14:58:21;7;20;14:58:14 - 14:58:20;6;22;14:58:14 - 14:58:20;6;23;14:58:14 - 14:58:21;7;23;14:58:20 - 14:58:27;7;17;14:58:20 - 14:58:27;7;17;14:58:21 - 14:58:27;6;17;14:58:21 - 14:58:28;7;16;14:58:27 - 14:58:33;6;11;14:58:27 - 14:58:34;7;11;14:58:27 - 14:58:34;7;11;14:58:28 - 14:58:35;7;10;14:58:33 - 14:58:40;7;9;14:58:34 - 14:58:40;6;10;14:58:34 - 14:58:40;6;13;14:58:35 - 14:58:41;6;13;
grayscaling;2:58:41 - 2:59:0 (121);19;0;2:58:42 - 2:59:2 (105);20;0;2:58:43 - 2:59:18 (35);35;0;2:58:44 - 2:59:20 (99);36;0;2:58:44 - 2:59:21 (95);37;0;2:58:44 - 2:59:21 (84);37;0;2:58:44 - 2:59:22 (113);38;0;2:58:44 - 2:59:22 (128);38;1;2:58:44 - 2:59:23 (94);39;0;2:58:45 - 2:59:24 (29);39;0;2:58:45 - 2:59:24 (102);39;0;2:58:45 - 2:59:24 (97);39;0;2:58:49 - 2:59:32 (25);43;1;2:58:50 - 2:59:34 (123);44;0;2:58:53 - 2:59:37 (118);44;0;2:58:54 - 2:59:39 (31);45;0;
errosion;2:59:0 - 2:59:0 (100);0;;2:59:2 - 2:59:2 (83);0;;2:59:18 - 2:59:19 (103);1;;2:59:20 - 2:59:20 (112);0;;2:59:21 - 2:59:22 (35);1;;2:59:21 - 2:59:22 (95);1;;2:59:22 - 2:59:23 (84);1;;2:59:23 - 2:59:23 (121);0;;2:59:23 - 2:59:24 (106);1;;2:59:24 - 2:59:24 (91);0;;2:59:24 - 2:59:25 (121);1;;2:59:24 - 2:59:25 (103);1;;2:59:33 - 2:59:33 (84);0;;2:59:34 - 2:59:34 (113);0;;2:59:37 - 2:59:38 (126);1;;2:59:39 - 2:59:39 (95);0;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;14:58:41 - 14:58:48;7;21;14:58:41 - 14:58:48;7;22;14:58:41 - 14:58:48;7;23;14:58:41 - 14:58:48;7;23;14:58:48 - 14:58:54;6;17;14:58:48 - 14:58:54;6;18;14:58:48 - 14:58:55;7;17;14:58:48 - 14:58:54;6;18;14:58:54 - 14:59:1;7;11;14:58:54 - 14:59:1;7;11;14:58:54 - 14:59:2;8;10;14:58:55 - 14:59:3;8;9;14:59:1 - 14:59:9;8;7;14:59:1 - 14:59:9;8;6;14:59:2 - 14:59:9;7;8;14:59:3 - 14:59:10;7;7;
grayscaling;2:59:9 - 3:0:9 (116);60;0;2:59:10 - 3:0:13 (83);63;0;2:59:11 - 3:0:12 (98);61;1;2:59:11 - 3:0:11 (115);60;0;2:59:11 - 3:0:14 (101);63;0;2:59:12 - 3:0:11 (109);59;0;2:59:12 - 3:0:14 (125);62;0;2:59:12 - 3:0:13 (90);61;1;2:59:12 - 3:0:14 (124);62;0;2:59:12 - 3:0:12 (114);60;1;2:59:12 - 3:0:12 (108);60;0;2:59:12 - 3:0:13 (119);61;0;2:59:16 - 3:0:17 (127);61;1;2:59:15 - 3:0:19 (93);64;0;2:59:17 - 3:0:19 (86);62;0;2:59:17 - 3:0:18 (96);61;0;
errosion;3:0:9 - 3:0:9 (104);0;;3:0:13 - 3:0:13 (115);0;;3:0:13 - 3:0:13 (108);0;;3:0:11 - 3:0:11 (115);0;;3:0:14 - 3:0:14 (122);0;;3:0:11 - 3:0:12 (122);1;;3:0:14 - 3:0:15 (122);1;;3:0:14 - 3:0:14 (119);0;;3:0:14 - 3:0:15 (125);1;;3:0:13 - 3:0:13 (119);0;;3:0:12 - 3:0:12 (115);0;;3:0:13 - 3:0:13 (122);0;;3:0:18 - 3:0:18 (119);0;;3:0:19 - 3:0:19 (127);0;;3:0:19 - 3:0:20 (90);1;;3:0:18 - 3:0:18 (127);0;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;14:59:10 - 14:59:17;7;23;14:59:10 - 14:59:17;7;23;14:59:10 - 14:59:17;7;23;14:59:10 - 14:59:17;7;24;14:59:17 - 14:59:25;8;16;14:59:17 - 14:59:24;7;17;14:59:17 - 14:59:25;8;16;14:59:17 - 14:59:25;8;16;14:59:24 - 14:59:32;8;9;14:59:25 - 14:59:33;8;8;14:59:25 - 14:59:33;8;8;14:59:25 - 14:59:33;8;8;14:59:32 - 14:59:40;8;2;14:59:33 - 14:59:41;8;4;14:59:33 - 14:59:41;8;4;14:59:33 - 14:59:41;8;4;
grayscaling;2:59:40 - 3:0:35 (25);55;0;2:59:40 - 3:0:36 (29);56;1;2:59:40 - 3:0:36 (95);56;1;2:59:41 - 3:0:36 (103);55;0;2:59:41 - 3:0:36 (123);55;0;2:59:41 - 3:0:36 (99);55;1;2:59:41 - 3:0:37 (126);56;0;2:59:41 - 3:0:35 (128);54;1;2:59:41 - 3:0:35 (84);54;1;2:59:41 - 3:0:36 (35);55;0;2:59:41 - 3:0:36 (94);55;1;2:59:41 - 3:0:36 (31);55;1;2:59:42 - 3:0:37 (113);55;0;2:59:45 - 3:0:37 (120);52;0;2:59:45 - 3:0:37 (107);52;1;2:59:45 - 3:0:37 (110);52;0;
errosion;3:0:35 - 3:0:36 (84);1;;3:0:37 - 3:0:37 (103);0;;3:0:37 - 3:0:37 (29);0;;3:0:36 - 3:0:36 (128);0;;3:0:36 - 3:0:36 (128);0;;3:0:37 - 3:0:37 (128);0;;3:0:37 - 3:0:37 (95);0;;3:0:36 - 3:0:36 (123);0;;3:0:36 - 3:0:36 (93);0;;3:0:36 - 3:0:36 (84);0;;3:0:37 - 3:0:37 (86);0;;3:0:37 - 3:0:37 (126);0;;3:0:37 - 3:0:37 (31);0;;3:0:37 - 3:0:37 (113);0;;3:0:38 - 3:0:38 (84);0;;3:0:37 - 3:0:38 (95);1;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;14:59:41 - 15:0:8;27;87;14:59:41 - 15:0:10;29;85;14:59:41 - 15:0:9;28;86;14:59:41 - 15:0:10;29;85;15:0:8 - 15:0:36;28;59;15:0:9 - 15:0:35;26;61;15:0:10 - 15:0:38;28;58;15:0:10 - 15:0:39;29;57;15:0:35 - 15:1:1;26;35;15:0:36 - 15:1:3;27;33;15:0:38 - 15:1:8;30;29;15:0:39 - 15:1:8;29;29;15:1:1 - 15:1:26;25;16;15:1:3 - 15:1:30;27;12;15:1:8 - 15:1:35;27;6;15:1:8 - 15:1:35;27;7;
grayscaling;3:1:35 - 3:3:30 (120);115;0;3:1:35 - 3:3:35 (118);120;1;3:1:35 - 3:3:35 (112);120;1;3:1:35 - 3:3:33 (25);118;0;3:1:35 - 3:3:36 (117);121;1;3:1:36 - 3:3:37 (116);121;0;3:1:36 - 3:3:37 (92);121;1;3:1:36 - 3:3:37 (30);121;1;3:1:36 - 3:3:37 (109);121;0;3:1:36 - 3:3:38 (100);122;0;3:1:37 - 3:3:38 (105);121;0;3:1:37 - 3:3:38 (85);121;1;3:1:42 - 3:3:40 (103);118;0;3:1:42 - 3:3:40 (128);118;0;3:1:41 - 3:3:40 (31);119;0;3:1:42 - 3:3:40 (84);118;0;
errosion;3:3:30 - 3:3:31 (95);1;;3:3:36 - 3:3:36 (118);0;;3:3:36 - 3:3:37 (112);1;;3:3:33 - 3:3:34 (120);1;;3:3:37 - 3:3:37 (120);0;;3:3:37 - 3:3:37 (116);0;;3:3:38 - 3:3:38 (116);0;;3:3:38 - 3:3:38 (120);0;;3:3:37 - 3:3:38 (92);1;;3:3:38 - 3:3:38 (120);0;;3:3:38 - 3:3:39 (100);1;;3:3:39 - 3:3:39 (92);0;;3:3:40 - 3:3:40 (92);0;;3:3:40 - 3:3:41 (103);1;;3:3:40 - 3:3:40 (85);0;;3:3:40 - 3:3:40 (31);0;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;15:1:35 - 15:2:21;46;140;15:1:35 - 15:2:20;45;141;15:1:35 - 15:2:20;45;143;15:1:35 - 15:2:21;46;142;15:2:20 - 15:3:7;47;96;15:2:20 - 15:3:8;48;96;15:2:21 - 15:3:9;48;95;15:2:21 - 15:3:9;48;95;15:3:7 - 15:3:52;45;53;15:3:8 - 15:3:55;47;50;15:3:9 - 15:3:56;47;50;15:3:9 - 15:3:57;48;49;15:3:52 - 15:4:35;43;14;15:3:55 - 15:4:38;43;11;15:3:56 - 15:4:39;43;10;15:3:57 - 15:4:42;45;8;
grayscaling;3:4:41 - 3:7:43 (116);182;1;3:4:41 - 3:7:41 (128);180;1;3:4:43 - 3:7:58 (107);195;1;3:4:43 - 3:7:57 (99);194;1;3:4:43 - 3:7:57 (119);194;0;3:4:44 - 3:7:58 (126);194;1;3:4:44 - 3:8:0 (102);196;0;3:4:44 - 3:8:0 (127);196;1;3:4:45 - 3:7:59 (114);194;1;3:4:45 - 3:8:0 (123);195;2;3:4:46 - 3:8:0 (93);194;1;3:4:46 - 3:8:1 (35);195;1;3:4:49 - 3:8:2 (109);193;1;3:4:49 - 3:8:2 (106);193;1;3:4:49 - 3:8:2 (90);193;1;3:4:50 - 3:8:2 (118);192;1;
errosion;3:7:44 - 3:7:45 (116);1;;3:7:42 - 3:7:43 (128);1;;3:7:59 - 3:8:0 (126);1;;3:7:58 - 3:7:59 (128);1;;3:7:57 - 3:7:58 (99);1;;3:7:59 - 3:8:0 (128);1;;3:8:0 - 3:8:1 (127);1;;3:8:1 - 3:8:1 (99);0;;3:8:0 - 3:8:1 (116);1;;3:8:2 - 3:8:2 (126);0;;3:8:1 - 3:8:2 (116);1;;3:8:2 - 3:8:2 (123);0;;3:8:3 - 3:8:3 (123);0;;3:8:3 - 3:8:4 (127);1;;3:8:3 - 3:8:3 (90);0;;3:8:3 - 3:8:3 (118);0;;


