sep=;
8sub-images - time duration for each phase and the corresponding threads - Local
grayscaling;0:46:17 - 0:48:19 (103);122;1;0:46:17 - 0:48:20 (106);123;1;0:46:16 - 0:48:17 (97);121;0;0:46:17 - 0:48:19 (102);122;1;0:46:18 - 0:48:21 (25);123;0;0:46:19 - 0:48:21 (118);122;2;0:46:18 - 0:48:21 (113);123;1;0:46:19 - 0:48:21 (98);122;1;
errosion;0:48:20 - 0:48:21 (103);1;;0:48:21 - 0:48:21 (102);0;;0:48:17 - 0:48:18 (94);1;;0:48:20 - 0:48:20 (102);0;;0:48:21 - 0:48:22 (103);1;;0:48:23 - 0:48:23 (113);0;;0:48:22 - 0:48:22 (103);0;;0:48:22 - 0:48:22 (25);0;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;12:46:17 - 12:47:51;94;93;12:46:17 - 12:47:50;93;93;12:46:17 - 12:47:46;89;98;12:46:17 - 12:47:52;95;91;12:47:46 - 12:49:10;84;15;12:47:50 - 12:49:21;91;5;12:47:51 - 12:49:21;90;5;12:47:52 - 12:49:22;90;6;
grayscaling;0:49:24 - 0:52:42 (119);198;1;0:49:23 - 0:52:36 (84);193;1;0:49:24 - 0:52:41 (123);197;1;0:49:23 - 0:52:39 (100);196;2;0:49:25 - 0:52:42 (108);197;2;0:49:26 - 0:52:43 (128);197;2;0:49:26 - 0:52:43 (96);197;2;0:49:28 - 0:52:44 (114);196;2;
errosion;0:52:43 - 0:52:43 (108);0;;0:52:37 - 0:52:38 (84);1;;0:52:42 - 0:52:43 (100);1;;0:52:41 - 0:52:42 (100);1;;0:52:44 - 0:52:44 (100);0;;0:52:45 - 0:52:45 (114);0;;0:52:45 - 0:52:45 (128);0;;0:52:46 - 0:52:46 (100);0;;


