sep=;
14sub-images - time duration for each phase and the corresponding threads - Local
grayscaling;2:30:8 - 2:30:57 (103);49;0;2:30:8 - 2:30:58 (122);50;0;2:30:8 - 2:30:57 (93);49;1;2:30:8 - 2:30:58 (25);50;0;2:30:9 - 2:30:57 (85);48;0;2:30:9 - 2:30:57 (127);48;1;2:30:10 - 2:30:58 (95);48;1;2:30:9 - 2:30:58 (110);49;0;2:30:13 - 2:30:59 (120);46;0;2:30:15 - 2:31:0 (104);45;0;2:30:15 - 2:30:59 (113);44;1;2:30:14 - 2:30:59 (117);45;1;2:30:15 - 2:31:0 (96);45;0;2:30:15 - 2:31:0 (123);45;0;
errosion;2:30:57 - 2:30:57 (112);0;;2:30:58 - 2:30:58 (85);0;;2:30:58 - 2:30:58 (127);0;;2:30:58 - 2:30:58 (127);0;;2:30:57 - 2:30:58 (112);1;;2:30:58 - 2:30:58 (93);0;;2:30:59 - 2:30:59 (112);0;;2:30:58 - 2:30:58 (103);0;;2:30:59 - 2:30:59 (120);0;;2:31:0 - 2:31:0 (113);0;;2:31:0 - 2:31:0 (113);0;;2:31:0 - 2:31:0 (120);0;;2:31:0 - 2:31:0 (96);0;;2:31:0 - 2:31:0 (85);0;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;14:30:9 - 14:30:39;30;94;14:30:9 - 14:30:39;30;92;14:30:9 - 14:30:39;30;93;14:30:9 - 14:30:42;33;91;14:30:39 - 14:31:8;29;66;14:30:39 - 14:31:12;33;61;14:30:39 - 14:31:13;34;61;14:30:42 - 14:31:15;33;59;14:31:8 - 14:31:37;29;37;14:31:12 - 14:31:45;33;34;14:31:13 - 14:31:45;32;29;14:31:15 - 14:31:48;33;31;14:31:37 - 14:32:5;28;15;14:31:45 - 14:32:12;27;7;
grayscaling;2:32:13 - 2:34:12 (121);119;1;2:32:11 - 2:34:1 (85);110;1;2:32:12 - 2:34:6 (113);114;1;2:32:13 - 2:34:12 (101);119;1;2:32:14 - 2:34:14 (108);120;1;2:32:13 - 2:34:13 (94);120;1;2:32:14 - 2:34:14 (109);120;1;2:32:14 - 2:34:13 (31);119;1;2:32:14 - 2:34:14 (35);120;1;2:32:19 - 2:34:17 (128);118;0;2:32:14 - 2:34:14 (106);120;1;2:32:19 - 2:34:17 (92);118;0;2:32:20 - 2:34:17 (95);117;0;2:32:19 - 2:34:17 (103);118;1;
errosion;2:34:13 - 2:34:13 (121);0;;2:34:2 - 2:34:2 (85);0;;2:34:7 - 2:34:8 (87);1;;2:34:13 - 2:34:13 (113);0;;2:34:15 - 2:34:15 (113);0;;2:34:14 - 2:34:14 (121);0;;2:34:15 - 2:34:15 (109);0;;2:34:14 - 2:34:14 (31);0;;2:34:15 - 2:34:15 (35);0;;2:34:17 - 2:34:18 (92);1;;2:34:15 - 2:34:16 (94);1;;2:34:17 - 2:34:17 (94);0;;2:34:17 - 2:34:17 (87);0;;2:34:18 - 2:34:18 (95);0;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;14:32:12 - 14:33:4;52;149;14:32:12 - 14:33:4;52;147;14:32:12 - 14:33:5;53;148;14:32:12 - 14:33:5;53;148;14:33:4 - 14:33:58;54;94;14:33:4 - 14:33:57;53;97;14:33:5 - 14:33:59;54;95;14:33:5 - 14:33:59;54;95;14:33:57 - 14:34:48;51;47;14:33:58 - 14:34:49;51;46;14:33:59 - 14:34:51;52;50;14:33:59 - 14:34:49;50;51;14:34:48 - 14:35:32;44;9;14:34:49 - 14:35:32;43;9;
grayscaling;2:35:33 - 2:38:46 (30);193;0;2:35:31 - 2:38:36 (103);185;1;2:35:33 - 2:38:46 (91);193;1;2:35:33 - 2:38:46 (86);193;1;2:35:32 - 2:38:41 (87);189;0;2:35:34 - 2:38:47 (126);193;1;2:35:34 - 2:38:49 (116);195;1;2:35:34 - 2:38:47 (83);193;1;2:35:35 - 2:38:48 (100);193;1;2:35:35 - 2:38:49 (118);194;1;2:35:41 - 2:38:52 (31);191;1;2:35:40 - 2:38:51 (105);191;1;2:35:41 - 2:38:51 (121);190;1;2:35:41 - 2:38:52 (106);191;1;
errosion;2:38:46 - 2:38:47 (103);1;;2:38:37 - 2:38:38 (103);1;;2:38:47 - 2:38:48 (30);1;;2:38:47 - 2:38:48 (86);1;;2:38:41 - 2:38:43 (103);2;;2:38:48 - 2:38:49 (103);1;;2:38:50 - 2:38:51 (126);1;;2:38:48 - 2:38:49 (30);1;;2:38:49 - 2:38:50 (100);1;;2:38:50 - 2:38:50 (30);0;;2:38:53 - 2:38:53 (100);0;;2:38:52 - 2:38:52 (116);0;;2:38:52 - 2:38:52 (121);0;;2:38:53 - 2:38:53 (105);0;;


