sep=;
10sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
grayscaling;1:18:57 - 1:20:48 (99);111;1;1:18:58 - 1:20:51 (118);113;0;1:18:57 - 1:20:50 (105);113;0;1:18:58 - 1:20:51 (30);113;1;1:19:4 - 1:21:0 (83);116;0;1:19:3 - 1:20:59 (90);116;1;1:19:7 - 1:21:2 (106);115;0;1:19:8 - 1:21:3 (100);115;0;1:19:11 - 1:21:4 (93);113;0;1:19:12 - 1:21:3 (127);111;1;
errosion;1:20:49 - 1:20:50 (99);1;;1:20:51 - 1:20:52 (116);1;;1:20:50 - 1:20:51 (105);1;;1:20:52 - 1:20:52 (105);0;;1:21:0 - 1:21:1 (83);1;;1:21:0 - 1:21:0 (90);0;;1:21:2 - 1:21:3 (116);1;;1:21:3 - 1:21:3 (99);0;;1:21:4 - 1:21:4 (106);0;;1:21:4 - 1:21:4 (83);0;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;13:18:58 - 13:20:11;73;133;13:18:58 - 13:20:11;73;134;13:18:58 - 13:20:11;73;139;13:18:58 - 13:20:13;75;131;13:20:11 - 13:21:25;74;64;13:20:11 - 13:21:24;73;69;13:20:11 - 13:21:24;73;78;13:20:13 - 13:21:26;73;71;13:21:24 - 13:22:24;60;10;13:21:24 - 13:22:23;59;15;
grayscaling;1:22:24 - 1:25:24 (93);180;0;1:22:25 - 1:25:29 (100);184;1;1:22:30 - 1:25:39 (121);189;1;1:22:24 - 1:25:21 (116);177;1;1:22:29 - 1:25:37 (87);188;2;1:22:33 - 1:25:42 (29);189;1;1:22:42 - 1:25:45 (125);183;1;1:22:37 - 1:25:45 (86);188;0;1:22:34 - 1:25:43 (107);189;1;1:22:38 - 1:25:45 (117);187;1;
errosion;1:25:24 - 1:25:25 (116);1;;1:25:30 - 1:25:31 (100);1;;1:25:40 - 1:25:41 (87);1;;1:25:22 - 1:25:23 (116);1;;1:25:39 - 1:25:39 (87);0;;1:25:43 - 1:25:43 (121);0;;1:25:46 - 1:25:47 (125);1;;1:25:45 - 1:25:46 (117);1;;1:25:44 - 1:25:44 (29);0;;1:25:46 - 1:25:46 (107);0;;


